bpm,source,timestamp
56,awake,2023-07-21T10:44:01+00:00
64,awake,2023-07-21T10:44:03+00:00
55,awake,2023-07-21T10:44:05+00:00
64,awake,2023-07-21T10:54:34+00:00
60,awake,2023-07-21T10:54:41+00:00
51,awake,2023-07-21T10:54:43+00:00
60,awake,2023-07-21T11:04:49+00:00
58,awake,2023-07-21T11:04:50+00:00
56,awake,2023-07-21T11:04:51+00:00
61,awake,2023-07-21T11:34:35+00:00
72,awake,2023-07-21T11:34:49+00:00
69,awake,2023-07-21T11:35:14+00:00
71,awake,2023-07-21T11:39:51+00:00
62,awake,2023-07-21T11:40:14+00:00
61,awake,2023-07-21T11:40:16+00:00
81,awake,2023-07-21T11:50:04+00:00
83,awake,2023-07-21T11:50:30+00:00
86,awake,2023-07-21T11:50:34+00:00
67,awake,2023-07-21T12:20:45+00:00
64,awake,2023-07-21T12:20:50+00:00
70,awake,2023-07-21T12:21:06+00:00
68,awake,2023-07-21T13:11:10+00:00
83,awake,2023-07-21T13:11:15+00:00
78,awake,2023-07-21T13:11:16+00:00
72,awake,2023-07-21T13:20:56+00:00
59,awake,2023-07-21T13:21:02+00:00
58,awake,2023-07-21T13:21:34+00:00
76,awake,2023-07-21T13:41:24+00:00
66,awake,2023-07-21T13:41:31+00:00
71,awake,2023-07-21T13:41:32+00:00
64,awake,2023-07-21T13:51:35+00:00
69,awake,2023-07-21T13:51:38+00:00
75,awake,2023-07-21T13:51:53+00:00
67,awake,2023-07-21T14:08:14+00:00
72,awake,2023-07-21T14:08:17+00:00
69,awake,2023-07-21T14:08:18+00:00
68,awake,2023-07-21T14:13:24+00:00
71,awake,2023-07-21T14:13:28+00:00
66,awake,2023-07-21T14:13:43+00:00
63,awake,2023-07-21T14:19:04+00:00
60,awake,2023-07-21T14:19:05+00:00
57,awake,2023-07-21T14:19:30+00:00
58,awake,2023-07-21T14:24:21+00:00
63,awake,2023-07-21T14:24:22+00:00
75,awake,2023-07-21T14:24:24+00:00
66,awake,2023-07-21T14:29:47+00:00
71,awake,2023-07-21T14:29:49+00:00
63,awake,2023-07-21T14:29:56+00:00
64,awake,2023-07-21T14:35:11+00:00
69,awake,2023-07-21T14:35:14+00:00
66,awake,2023-07-21T14:35:15+00:00
64,awake,2023-07-21T14:40:04+00:00
62,awake,2023-07-21T14:40:16+00:00
59,awake,2023-07-21T14:40:24+00:00
65,awake,2023-07-21T14:45:06+00:00
72,awake,2023-07-21T14:45:37+00:00
68,awake,2023-07-21T14:45:38+00:00
62,awake,2023-07-21T14:56:55+00:00
68,awake,2023-07-21T14:57:01+00:00
56,awake,2023-07-21T14:57:07+00:00
63,awake,2023-07-21T15:06:45+00:00
60,awake,2023-07-21T15:07:17+00:00
70,awake,2023-07-21T15:07:18+00:00
64,awake,2023-07-21T15:16:53+00:00
59,awake,2023-07-21T15:17:07+00:00
57,awake,2023-07-21T15:17:08+00:00
70,awake,2023-07-21T15:37:26+00:00
55,awake,2023-07-21T15:37:37+00:00
53,awake,2023-07-21T15:37:43+00:00
54,awake,2023-07-21T15:43:45+00:00
56,awake,2023-07-21T15:43:51+00:00
61,awake,2023-07-21T15:44:21+00:00
61,awake,2023-07-21T15:49:05+00:00
59,awake,2023-07-21T15:49:33+00:00
62,awake,2023-07-21T15:49:46+00:00
55,awake,2023-07-21T15:54:31+00:00
58,awake,2023-07-21T15:54:57+00:00
53,awake,2023-07-21T15:54:58+00:00
68,awake,2023-07-21T15:59:50+00:00
73,awake,2023-07-21T15:59:59+00:00
61,awake,2023-07-21T16:09:53+00:00
73,awake,2023-07-21T16:09:59+00:00
65,awake,2023-07-21T16:10:03+00:00
65,awake,2023-07-21T17:00:39+00:00
76,awake,2023-07-21T17:01:07+00:00
82,awake,2023-07-21T17:01:13+00:00
67,awake,2023-07-21T17:06:37+00:00
74,awake,2023-07-21T17:07:08+00:00
63,awake,2023-07-21T17:07:14+00:00
86,awake,2023-07-21T18:11:24+00:00
89,awake,2023-07-21T18:11:26+00:00
96,awake,2023-07-21T18:11:30+00:00
99,awake,2023-07-21T18:21:01+00:00
85,awake,2023-07-21T18:21:24+00:00
91,awake,2023-07-21T18:21:25+00:00
68,awake,2023-07-21T18:48:53+00:00
66,awake,2023-07-21T18:49:00+00:00
70,awake,2023-07-21T18:49:24+00:00
79,awake,2023-07-21T18:53:55+00:00
63,awake,2023-07-21T18:54:24+00:00
67,awake,2023-07-21T18:54:36+00:00
61,awake,2023-07-21T18:59:11+00:00
68,awake,2023-07-21T18:59:29+00:00
63,awake,2023-07-21T18:59:43+00:00
65,awake,2023-07-21T19:04:24+00:00
58,awake,2023-07-21T19:04:36+00:00
74,awake,2023-07-21T19:04:50+00:00
84,awake,2023-07-21T19:46:32+00:00
86,awake,2023-07-21T19:46:48+00:00
89,awake,2023-07-21T19:46:55+00:00
64,awake,2023-07-21T19:51:34+00:00
75,awake,2023-07-21T19:51:53+00:00
69,awake,2023-07-21T19:51:54+00:00
105,awake,2023-07-21T20:24:33+00:00
102,awake,2023-07-21T20:24:51+00:00
98,awake,2023-07-21T20:24:57+00:00
91,awake,2023-07-21T20:34:57+00:00
87,awake,2023-07-21T20:35:04+00:00
81,awake,2023-07-21T20:35:07+00:00
108,awake,2023-07-21T20:40:11+00:00
106,awake,2023-07-21T20:40:16+00:00
89,awake,2023-07-21T20:50:37+00:00
86,awake,2023-07-21T20:51:10+00:00
84,awake,2023-07-21T20:51:11+00:00
67,awake,2023-07-21T20:56:45+00:00
60,awake,2023-07-21T20:57:06+00:00
62,awake,2023-07-21T20:57:15+00:00
89,awake,2023-07-21T21:02:10+00:00
81,awake,2023-07-21T21:02:22+00:00
70,awake,2023-07-21T21:02:23+00:00
69,awake,2023-07-21T21:30:35+00:00
75,awake,2023-07-21T21:30:36+00:00
84,awake,2023-07-21T21:30:37+00:00
110,awake,2023-07-21T22:07:36+00:00
112,awake,2023-07-21T22:07:38+00:00
114,awake,2023-07-21T22:07:41+00:00
136,awake,2023-07-21T22:18:12+00:00
139,awake,2023-07-21T22:18:13+00:00
132,awake,2023-07-21T22:18:14+00:00
102,awake,2023-07-21T22:25:02+00:00
98,awake,2023-07-21T22:25:23+00:00
95,awake,2023-07-21T22:25:43+00:00
101,awake,2023-07-21T22:30:13+00:00
98,awake,2023-07-21T22:30:50+00:00
97,awake,2023-07-21T22:30:54+00:00
61,awake,2023-07-21T23:45:51+00:00
76,awake,2023-07-21T23:46:17+00:00
68,awake,2023-07-21T23:46:24+00:00
58,awake,2023-07-22T02:42:57+00:00
60,awake,2023-07-22T02:43:04+00:00
57,awake,2023-07-22T02:43:09+00:00
77,awake,2023-07-22T02:59:25+00:00
74,awake,2023-07-22T03:00:01+00:00
72,awake,2023-07-22T03:00:03+00:00
69,awake,2023-07-22T03:04:34+00:00
76,awake,2023-07-22T03:04:42+00:00
72,awake,2023-07-22T03:04:56+00:00
68,awake,2023-07-22T03:10:13+00:00
71,awake,2023-07-22T03:10:28+00:00
74,awake,2023-07-22T03:10:33+00:00
62,awake,2023-07-22T03:15:06+00:00
70,awake,2023-07-22T03:15:18+00:00
66,awake,2023-07-22T03:15:20+00:00
72,awake,2023-07-22T07:25:25+00:00
78,awake,2023-07-22T07:25:32+00:00
74,awake,2023-07-22T07:25:48+00:00
72,awake,2023-07-22T07:30:43+00:00
69,awake,2023-07-22T07:30:44+00:00
68,awake,2023-07-22T07:30:47+00:00
67,awake,2023-07-22T07:35:58+00:00
76,awake,2023-07-22T07:36:11+00:00
61,awake,2023-07-22T07:40:52+00:00
68,awake,2023-07-22T07:41:13+00:00
65,awake,2023-07-22T07:41:24+00:00
66,awake,2023-07-22T07:46:08+00:00
63,awake,2023-07-22T07:46:39+00:00
66,awake,2023-07-22T07:46:41+00:00
64,awake,2023-07-22T08:01:35+00:00
68,awake,2023-07-22T08:01:51+00:00
78,awake,2023-07-22T08:02:11+00:00
69,awake,2023-07-22T08:06:36+00:00
64,awake,2023-07-22T08:06:40+00:00
66,awake,2023-07-22T08:06:48+00:00
66,awake,2023-07-22T08:11:51+00:00
68,awake,2023-07-22T08:11:56+00:00
70,awake,2023-07-22T08:38:29+00:00
71,awake,2023-07-22T08:43:00+00:00
66,awake,2023-07-22T08:43:15+00:00
69,awake,2023-07-22T08:43:25+00:00
68,awake,2023-07-22T08:48:21+00:00
66,awake,2023-07-22T08:48:27+00:00
70,awake,2023-07-22T08:48:31+00:00
72,awake,2023-07-22T08:53:16+00:00
70,awake,2023-07-22T08:53:20+00:00
68,awake,2023-07-22T08:53:52+00:00
73,awake,2023-07-22T08:58:48+00:00
72,awake,2023-07-22T08:58:57+00:00
66,awake,2023-07-22T08:59:02+00:00
82,awake,2023-07-22T09:16:35+00:00
74,awake,2023-07-22T09:16:46+00:00
76,awake,2023-07-22T09:16:54+00:00
65,awake,2023-07-22T09:21:49+00:00
79,awake,2023-07-22T09:22:13+00:00
73,awake,2023-07-22T09:22:17+00:00
91,awake,2023-07-22T10:22:59+00:00
93,awake,2023-07-22T10:23:05+00:00
90,awake,2023-07-22T10:23:06+00:00
73,awake,2023-07-22T10:32:44+00:00
69,awake,2023-07-22T10:33:09+00:00
66,awake,2023-07-22T10:33:15+00:00
75,awake,2023-07-22T10:43:10+00:00
82,awake,2023-07-22T10:43:19+00:00
79,awake,2023-07-22T10:43:25+00:00
80,awake,2023-07-22T13:40:35+00:00
87,awake,2023-07-22T13:40:42+00:00
71,awake,2023-07-22T13:40:47+00:00
90,awake,2023-07-22T13:46:05+00:00
94,awake,2023-07-22T13:46:08+00:00
76,awake,2023-07-22T13:46:23+00:00
97,awake,2023-07-22T13:50:55+00:00
96,awake,2023-07-22T13:51:24+00:00
93,awake,2023-07-22T13:51:25+00:00
98,awake,2023-07-22T13:56:01+00:00
96,awake,2023-07-22T13:56:37+00:00
107,awake,2023-07-22T14:01:30+00:00
103,awake,2023-07-22T14:01:33+00:00
98,awake,2023-07-22T14:01:37+00:00
102,awake,2023-07-22T14:06:24+00:00
100,awake,2023-07-22T14:06:35+00:00
95,awake,2023-07-22T14:06:50+00:00
72,awake,2023-07-22T14:11:58+00:00
70,awake,2023-07-22T14:12:02+00:00
74,awake,2023-07-22T14:12:03+00:00
70,awake,2023-07-22T14:17:08+00:00
80,awake,2023-07-22T14:17:31+00:00
74,awake,2023-07-22T14:17:36+00:00
76,awake,2023-07-22T14:22:08+00:00
73,awake,2023-07-22T14:22:10+00:00
72,awake,2023-07-22T14:22:13+00:00
85,awake,2023-07-22T14:27:18+00:00
80,awake,2023-07-22T14:27:21+00:00
